date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2019-03-06,127500000,28235974,21810671,8432605,117198698,175677948,48177948,0.3778662552213936
2019-04-06,129000000,28535228,22025755,8594952,125108492,184264427,55264427,0.4284064074004099
2019-05-06,130500000,28823559,21910818,8443375,133180635,192358386,61858386,0.47401062285611517
2019-06-06,132000000,29129404,23211094,8657340,125579924,186577762,54577762,0.41346789267833306
2019-07-06,133500000,29427073,24848451,9041674,137840347,201157545,67657545,0.5067980871388211
2019-08-06,135000000,29688262,25939327,9906535,135384029,200918153,65918153,0.4882826177553936
2019-09-06,136500000,29971999,27050689,11266288,141703570,209992547,73492547,0.538406934681898
2019-10-06,138000000,30336792,27126810,10766873,138767876,206998350,68998350,0.4999880453474861
2019-11-06,139500000,30612228,26912995,10848119,145321589,213694930,74194930,0.5318633008084237
2019-12-06,141000000,30893911,26884630,10565867,152674980,221019389,80019389,0.5675133942696939
2020-01-06,142500000,31178893,28973769,11635253,158062421,229850335,87350335,0.6129848074999813
2020-02-06,144000000,31471825,28798630,11283734,173256713,244810902,100810902,0.7000757109305653
2020-03-06,145500000,31921283,31205929,11165901,159643614,233936728,88436728,0.6078125606509668
2020-04-06,147000000,32572930,30698489,9419571,150907030,223598020,76598020,0.5210749668878287
2020-05-06,148500000,33104822,32045728,9875026,172240008,247265584,98765584,0.6650881074072654
2020-06-06,150000000,33543677,32099763,11635826,184941029,262220296,112220296,0.7481353051331401
2020-07-06,151500000,34060057,33608322,11841469,198421014,277930863,126430863,0.8345271496028219
2020-08-06,153000000,34625031,38469427,18029628,208822517,299946604,146946604,0.9604353179059959
2020-09-06,154500000,35128407,36387457,17241922,221182807,309940593,155440593,1.0060879803746356
2020-10-06,156000000,35588694,36067206,15879437,212656524,300191861,144191861,0.9243067998720473
2020-11-06,157500000,36011259,36704716,16413217,214954732,304083923,146583923,0.9306915777562952
2020-12-06,159000000,36470037,35030125,15811798,218089473,305401433,146401433,0.9207637278515279
2021-01-06,160500000,36787816,37218550,17998076,222438153,314442595,153942595,0.9591438917358552
2021-02-06,162000000,37109322,34499431,17532892,248300381,337442026,175442026,1.082975469148559
2021-03-06,163500000,37423777,32727487,16839659,228319663,315310585,151810585,0.9285051087326004
2021-04-06,165000000,37690168,33784953,16845181,248324888,336645191,171645191,1.0402738852555173
2021-05-06,166500000,37960339,35250157,18064202,249525066,340799764,174299764,1.046845430161782
2021-06-06,168000000,38217724,37152009,18687857,247993282,342050871,174050871,1.0360170898060197
2021-07-06,169500000,38445421,36194390,18360975,274125066,367125851,197625851,1.1659342254380376
2021-08-06,171000000,38715992,36417255,17412313,286484506,379030066,208030066,1.2165500939139786
2021-09-06,172500000,38931057,37354559,17276865,300996907,394559388,222059388,1.2873008003249073
2021-10-06,174000000,39151863,36170461,15783055,288676874,379782252,205782252,1.1826566220621921
2021-11-06,175500000,39301863,37520527,16995229,322919413,416737031,241237031,1.3745699770506152
2021-12-06,177000000,39478584,37611717,16171001,311596367,404857668,227857668,1.2873314587429037
2022-01-06,178500000,39720749,38436272,16441310,315136681,409735012,231235012,1.2954342426434935
2022-02-06,180000000,39940002,38933646,16552342,297707108,393133098,213133098,1.184072764684044
2022-03-06,181500000,40180647,42261409,18715569,285413821,386571445,205071445,1.1298702226466761
2022-04-06,183000000,40384540,42389562,18278365,304474224,405526692,222526692,1.2159928506810669
2022-05-06,184500000,40619730,41925221,16987381,276267474,375799806,191299806,1.0368553174560446
2022-06-06,186000000,40799197,42160245,17150128,271109961,371219530,185219530,0.9958039272384396
2022-07-06,187500000,41125535,40258285,14598569,260057238,356039626,168539626,0.8988780046834481
2022-08-06,189000000,41495140,41167507,15792189,294057179,392512014,203512014,1.0767831446864284
2022-09-06,190500000,41831200,39930697,14347169,284797663,380906728,190406728,0.9995103848693312
2022-10-06,192000000,42291729,40448112,16499100,277639415,376878356,184878356,0.9629081022703219
2022-11-06,193500000,42674323,39043843,15827599,261996637,359542401,166042401,0.8581002634515131
2022-12-06,195000000,43236574,42230134,18073752,266225537,369765998,174765998,0.8962358874306635
2023-01-06,196500000,43777536,44126764,19064859,234960842,341930000,145430000,0.7401017821952005
2023-02-06,198000000,44273988,45395610,18526864,269900806,378097268,180097268,0.9095821640985982
2023-03-06,199500000,44735139,45060457,17545621,275637832,382979050,183479050,0.9196944872708452
2023-04-06,201000000,45310694,49169140,20764223,295264449,410508506,209508506,1.0423308745047852
2023-05-06,202500000,45770055,50067831,21514549,299728330,417080765,214580765,1.0596580965987745
2023-06-06,204000000,46295685,47902182,19677605,329309359,443184831,239184831,1.1724746611389976
2023-07-06,205500000,46850422,47217823,19016440,343292866,456377551,250877551,1.2208153353827012
2023-08-06,207000000,47452451,48078297,19847421,351753106,467131274,260131274,1.256672818954327
2023-09-06,208500000,47977016,48160695,20025441,358977706,475140858,266640858,1.2788530345282219
2023-10-06,210000000,48509356,45728861,17894320,346691238,458823774,248823774,1.1848751152642905
2023-11-06,211500000,49051844,50207224,19980296,342631525,461870889,250370889,1.1837867113156726
2023-12-06,213000000,49579703,51391363,20996744,366860605,488828415,275828415,1.294969084037605
2024-01-06,214500000,50061132,52011322,20097678,375578686,497748818,283248818,1.3205073082701135
2024-02-06,216000000,50497446,51806776,19650112,411712258,533666591,317666591,1.4706786600572799
2024-03-06,217500000,50920631,54582862,20878179,421949786,548331457,330831457,1.5210641712048485
2024-04-06,219000000,51374930,58735819,23649616,427552329,561312694,342312694,1.5630716630173196
2024-05-06,220500000,51840168,59630614,23706862,424263483,559441126,338941126,1.537147961760562
2024-06-06,222000000,52365378,60549502,26474305,453800423,593189608,371189608,1.6720252620394627
2024-07-06,223500000,52886990,61576306,27399629,494302979,636165904,412665904,1.8463798814916879
2024-08-06,225000000,53407355,62767514,24214252,444327215,584716336,359716336,1.5987392729373342
2024-09-06,226500000,53861937,65824466,25935969,443871913,589494284,362994284,1.6026237717695944
2024-10-06,228000000,54312524,69725077,29025976,470576838,623640415,395640415,1.7352649784034027
2024-11-06,229500000,54696848,71684973,29002126,510132639,665516585,436016585,1.8998544018100336
2024-12-06,231000000,55098974,69506373,28626090,543013922,696245359,465245359,2.0140491750978486
2025-01-06,232500000,55484534,69545734,27186711,560581163,712798141,480298141,2.065798456433249
2025-02-06,234000000,55865747,75803896,29825892,562426946,723922482,489922482,2.093685821473424
2025-03-06,235500000,56285128,77335602,30230530,532531399,696382659,460882659,1.9570388910892995
2025-04-06,237000000,56767650,81994236,28938528,476324355,644024769,407024769,1.717404089650155
2025-05-06,238500000,57266083,86157726,29968591,501291909,674684308,436184308,1.828865024331221
2025-06-06,240000000,57747722,88900375,31809527,530761328,709218952,469218952,1.9550789671018163
2025-07-06,241500000,58147034,88427431,33893713,559728073,740196252,498696252,2.064994830604209
2025-08-06,243000000,58575032,89492001,34752567,579163348,761982948,518982948,2.135732294664543
2025-09-06,244500000,58990530,94460068,37776641,597308883,788536123,544036123,2.225096615669104
2025-10-06,246000000,59389234,102527984,43482977,630302505,835702700,589702700,2.397165447808471
2025-11-06,247500000,59748869,105474485,44241474,670875959,880340787,632840787,2.556932474070153
2025-12-06,249000000,60139519,111940921,53711880,684858387,910650706,661650706,2.6572317505814076
2026-01-06,250500000,60579113,118007681,71999308,669777595,920363697,669863697,2.674106576323118
2026-02-06,252000000,60967297,127519768,66353781,654896010,909736857,657736857,2.6100668929650834
2026-03-06,253500000,61335724,134649468,75280276,674421664,945687131,692187131,2.7305212284266034
2026-04-06,255000000,61668595,122525361,64725951,660950324,909870231,654870231,2.5681185527663986
2026-05-27,255000000,61847357,117783488,68041050,821356957,1069028852,814028852,3.1922700091543055
