symbol,date,close,currency,fetched_at,source_url
AMD,2021-05-06,77.88999938964844,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-07,78.80999755859375,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-10,75.98999786376953,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-11,76.83000183105469,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-12,74.63999938964844,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-13,73.08999633789062,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-14,74.58999633789062,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-17,74.6500015258789,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-18,74.44000244140625,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-19,76.2300033569336,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-20,78.05999755859375,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-21,77.16999816894531,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-24,77.44000244140625,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-25,77.86000061035156,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-26,78.33999633789062,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-27,78.41999816894531,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-05-28,80.08000183105469,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-01,80.80999755859375,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-02,81.97000122070312,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-03,80.27999877929688,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-04,81.58000183105469,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-07,81.3499984741211,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-08,80.88999938964844,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-09,79.95999908447266,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-10,81.55999755859375,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-11,81.30999755859375,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-14,81.55000305175781,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-15,80.47000122070312,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-16,80.11000061035156,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-17,84.55999755859375,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-18,84.6500015258789,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-21,82.58999633789062,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-22,83.58000183105469,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-23,83.81999969482422,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-24,86.0999984741211,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-25,85.62000274658203,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-28,87.08000183105469,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-29,89.5199966430664,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-06-30,93.93000030517578,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-01,93.30999755859375,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-02,94.69999694824219,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-06,94.47000122070312,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-07,90.54000091552734,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-08,89.73999786376953,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-09,90.9000015258789,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-12,90.80999755859375,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
AMD,2021-07-13,90.26000213623047,USD,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/
