observation_date,KORCPIFODMINMEI
2015-01-01,115.2739084698350
2015-02-01,116.0484122672150
2015-03-01,114.9502352410790
2015-04-01,114.8346376593800
2015-05-01,116.5108025940100
2015-06-01,116.1640098489140
2015-07-01,115.8634561364980
2015-08-01,116.6264001757080
2015-09-01,116.3952050123110
2015-10-01,115.2392291953250
2015-11-01,113.7133411169040
2015-12-01,115.5397829077420
2016-01-01,116.4761233195000
2016-02-01,119.5625787508530
2016-03-01,118.1985272868090
2016-04-01,118.2563260776580
2016-05-01,117.0309917116530
2016-06-01,115.2045499208160
2016-07-01,115.1929901626460
2016-08-01,116.7766770319160
2016-09-01,122.4640780514870
2016-10-01,120.7763533586880
2016-11-01,118.9845908423600
2016-12-01,120.2446044828740
2017-01-01,122.5912353913560
2017-02-01,122.9958269273010
2017-03-01,122.3715999861280
2017-04-01,121.3774607835200
2017-05-01,121.0306680384250
2017-06-01,120.5451581952910
2017-07-01,121.6780144959370
2017-08-01,125.3655773521220
2017-09-01,126.5099934109380
2017-10-01,122.8108707965830
2017-11-01,119.5741385090220
2017-12-01,120.5335984371210
2018-01-01,122.1982036135800
2018-02-01,125.7354896135570
2018-03-01,124.2558405678150
2018-04-01,124.8916272671580
2018-05-01,124.0824441952670
