observation_date,KORCPIALLMINMEI
1998-04-01,64.89184604477960
1998-05-01,64.56294346723401
1998-06-01,64.28885798594609
1998-07-01,64.28885798594609
1998-08-01,64.50707219604840
1998-09-01,64.78221185226440
1998-10-01,65.00042606236670
1998-11-01,64.78221185226440
1998-12-01,64.67257765974919
1999-01-01,64.61776056349160
1999-02-01,64.89184604477960
1999-03-01,65.00042606236670
1999-04-01,65.16487735113949
1999-05-01,65.05524315862429
1999-06-01,64.67257765974919
1999-07-01,64.45225509979080
1999-08-01,65.11111442981000
1999-09-01,65.27556571858270
1999-10-01,65.76891958490100
1999-11-01,65.65823121745780
1999-12-01,65.54859702494269
2000-01-01,65.83954930507910
2000-02-01,66.04089671633299
2000-03-01,66.37296181866260
2000-04-01,66.10625556187080
2000-05-01,65.77313628461320
2000-06-01,66.10625556187080
2000-07-01,66.37296181866260
2000-08-01,66.70502692099220
2000-09-01,67.57050453690540
2000-10-01,67.50409151643940
2000-11-01,67.10455921871581
2000-12-01,67.37021130057950
2001-01-01,68.10391705048880
2001-02-01,68.43598215281850
2001-03-01,69.03580768686790
2001-04-01,69.30145976873160
2001-05-01,69.23504674826570
2001-06-01,69.43428580966339
2001-07-01,69.56711185059530
2001-08-01,69.83381810738710
2001-09-01,69.76740508692110
2001-10-01,69.76740508692110
2001-11-01,69.36892696412561
2001-12-01,69.50175300505740
2002-01-01,69.90023112785300
2002-02-01,70.23335040511060
2002-03-01,70.63288270283419
2002-04-01,71.03241500055780
2002-05-01,71.29806708242160
2002-06-01,71.23165406195560
2002-07-01,71.03241500055780
2002-08-01,71.49836031874740
2002-09-01,71.89894679139900
2002-10-01,71.69759938014521
2002-11-01,71.76506657553909
2002-12-01,72.09607750294070
2003-01-01,72.56413117098630
2003-02-01,72.96260929378190
2003-03-01,73.82808690969500
2003-04-01,73.69526086876310
2003-05-01,73.56243482783130
2003-06-01,73.36214159150551
2003-07-01,73.29678274596760
2003-08-01,73.62884784829720
2003-09-01,74.29508640281260
2003-10-01,74.36044524835040
2003-11-01,74.22761920741860
2003-12-01,74.56179265960429
2004-01-01,75.02773797779381
2004-02-01,75.35980308012340
2004-03-01,76.09140048017670
2004-04-01,76.09140048017670
2004-05-01,76.02604163463880
2004-06-01,76.02604163463880
2004-07-01,76.49198695282830
2004-08-01,77.15611715748760
2004-09-01,77.15611715748760
2004-10-01,77.15611715748760
2004-11-01,76.69122601422610
2004-12-01,76.82510623008601
2005-01-01,77.58094965348390
2005-02-01,77.89509378203699
2005-03-01,78.36525579993869
2005-04-01,78.44431891954100
2005-05-01,78.36525579993869
2005-06-01,78.12912061605979
2005-07-01,78.44431891954100
2005-08-01,78.67939992849180
2005-09-01,79.07155300171920
2005-10-01,78.91448093744260
2005-11-01,78.60033680888949
2005-12-01,78.83647199276840
